species,location,time,description of bird,sex,feather color,activity_period,back_color,behavior,bill_color,bill_length,bill_shape,body_color,breast_color,cap_color,cheek_color,chest_color,chin_color,collar_color,crest_color,crown_color,eye_color,face_color,feeding_behavior,flight_style,foot_color,habitat_preference,head_color,head_marking,head_ornament,height,leg_color,leg_covering,leg_length,locomotion,nape_color,neck_color,neck_length,plumage_color,plumage_finish,plumage_pattern,rump_color,shoulder_color,side_color,size,tail_color,tail_length,tail_shape,throat_color,underparts_color,underwing_color,upperparts_color,vocalization,wing_color,wingtip_color
Orange-winged Amazon,Tokyo,02-07-2023 09:30,"A medium-sized parrot with green plumage, a yellow head, and orange wing feathers",Unknown,"Green, Yellow, and Orange",,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,green|orange,,,,,,medium,,,,,,,,,,
American Avocet,San Francisco,27-06-2023 14:30,"A tall wading bird with a slender upturned bill, white body, and black-and-white wings",Unknown,"White, Black, and White",,,,,,upturned,white,,,,,,,,,,,,,,,,,,tall,,,,wading,,,,,,,,,,,,,,,,,,,black|white,
Ruff,Amsterdam,03-07-2023 15:40,"A medium-sized wading bird with a mottled brown plumage, a long neck, and distinctive ""ruff"" feathers",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wading,,,long,brown,,mottled,,,,medium,,,,,,,,,,
Cape Weaver,Johannesburg,22-06-2023 12:10,A small bird with yellow plumage and a black face mask,Unknown,Yellow and Black,,,,,,,,,,,,,,,,,black,,,,,,mask,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Eurasian Treecreeper,Oslo,07-07-2023 11:55,"A small bird with mottled brown plumage and a long, curved bill",Unknown,Brown,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,,,
Pileated Woodpecker,New York City,25-06-2023 09:20,"A large woodpecker with a red crest, black body, and white stripes on its face",Male,"Red, Black, and White",,,,,,,black,,,,,,,red,,,white,,,,,,,crest,,,,,,,,,,,striped,,,,large,,,,,,,,,,
Scarlet Ibis,Rio de Janeiro,17-06-2023 16:15,"A medium-sized wading bird with bright scarlet plumage and a long, curved bill",Unknown,Scarlet,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,wading,,,,red,,,,,,medium,,,,,,,,,,
Greater Sand Plover,Sydney,01-07-2023 13:40,"A small shorebird with a mottled brown plumage, a white underbody, and a distinctive black-and-white face pattern",Unknown,"Brown, White, Black, and White",,,,,,,,,,,,,,,,,black|white,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,white,,,,,
Chestnut-collared Longspur,Denver,28-06-2023 10:30,A medium-sized bird with a chestnut-colored collar and a streaked back,Unknown,Chestnut and Brown,,,,,,,,,,,,,chestnut|red,,,,,,,,,,,,,,,,,,,,,,streaked,,,,medium,,,,,,,,,,
White-rumped Shama,Delhi,05-07-2023 16:55,"A medium-sized bird with a black head, a white rump, and a melodious song",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,white,,,medium,,,,,,,,song,,
Reddish Egret,Miami,20-06-2023 14:20,"A medium-sized heron with a shaggy reddish-brown plumage and a distinctive ""shuffling"" feeding behavior",Unknown,Reddish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|red,,,,,,medium,,,,,,,,,,
Alder Flycatcher,Chicago,04-07-2023 11:40,A small songbird with olive-green upperparts and a whitish underbody,Unknown,Olive-green and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,green|olive,,,
Northern Harrier,Seattle,21-06-2023 08:55,"A medium-sized bird of prey with a distinctive white rump patch and a low, gliding flight",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,gliding,,,,,,,,,,,,,,,,,white,,,medium,,,,,,,,,,
Reddish Hermit,Port-au-Prince,24-06-2023 15:25,"A small hummingbird with a reddish-brown body and a long, curved bill",Male,Reddish-brown,,,,,,curved,brown|red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,
Baltimore Oriole,"Washington, D.C.",29-06-2023 12:10,A medium-sized bird with bright orange plumage and black wings,Male,Orange and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orange,,,,,,medium,,,,,,,,,black,
Laughing Kookaburra,Sydney,02-07-2023 10:30,"A large bird with brown plumage, a white chest, and a distinctive ""laughing"" call",Unknown,Brown and White,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,large,,,,,,,,call,,
Ruby-crowned Kinglet,Seattle,25-06-2023 09:45,A small songbird with olive-green upperparts and a ruby-red crown,Male,Olive-green and Red,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,green|olive,,,
Siberian Rubythroat,St. Petersburg,01-07-2023 11:50,"A small songbird with a brownish-gray body, a white throat, and a bright red patch on its throat",Male,"Brownish-gray, White, and Red",,,,,,,gray_brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,red|white,,,,,,
Common Tern,New York City,19-06-2023 15:15,"A medium-sized bird with a white body, gray wings, and a black cap on its head",Unknown,"White, Gray, and Black",,,,,,,white,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,gray,
Gray-crowned Rosy-Finch,Boulder,26-06-2023 12:40,A medium-sized finch with gray plumage and a rosy-pink wash on its face and underparts,Unknown,Gray and Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
Black-winged Stilt,Amsterdam,03-07-2023 09:55,"A tall wading bird with black-and-white plumage, long pink legs, and a long, thin bill",Unknown,"Black, White, and Pink",,,,,long,slender,,,,,,,,,,,,,,,,,,,tall,pink,,long,wading,,,,black|white,,,,,,,,,,,,,,,,
Yellow-billed Hornbill,Cape Town,22-06-2023 14:10,A medium-sized bird with a black-and-white face and a distinctive yellow bill,Unknown,"Black, White, and Yellow",,,,yellow,,,,,,,,,,,,,black|white,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Sandwich Tern,Edinburgh,29-06-2023 15:40,"A medium-sized seabird with a white body, black cap, and a yellow-tipped black bill",Unknown,"White, Black, and Yellow",,,,black,,,white,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Eastern Meadowlark,Denver,04-07-2023 10:20,"A medium-sized bird with a yellow breast, a black ""V"" on its chest, and a melodic song",Unknown,Yellow and Black,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,song,,
Leach's Storm-Petrel,Reykjavik,21-06-2023 11:30,"A small seabird with a dark plumage, a white rump, and a forked tail",Unknown,Dark and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,small,,,forked,,,,,,,
Lazuli Bunting,San Francisco,27-06-2023 13:25,A small bird with bright blue plumage and a brownish back,Male,Blue and Brown,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,small,,,,,,,,,,
Swamp Sparrow,New York City,20-06-2023 09:50,A small sparrow with a streaked brown back and a grayish-brown breast,Unknown,Brown and Grayish-brown,,brown,,,,,,gray_brown,,,,,,,,,,,,,,,,,,,,,,,,,,,streaked,,,,small,,,,,,,,,,
Chestnut-headed Bee-eater,Bangkok,05-07-2023 15:10,"A medium-sized bird with a chestnut-colored head, green body, and long, curved bill",Unknown,Chestnut and Green,,,,,,curved,green,,,,,,,,,,,,,,,chestnut|red,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Yellow-billed Magpie,Sacramento,24-06-2023 10:25,A medium-sized bird with a black-and-white plumage and a yellow bill,Unknown,"Black, White, and Yellow",,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Spotted Flycatcher,Paris,01-07-2023 12:40,A small songbird with a brownish-gray plumage and distinctive spotted wings,Unknown,Brownish-gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,spotted,,,,small,,,,,,,,,,
Black-throated Sparrow,Los Angeles,18-06-2023 11:55,"A small sparrow with a black throat, a gray crown, and a white underbody",Unknown,"Black, Gray, and White",,,,,,,,,,,,,,,gray,,,,,,,,,,,,,,,,,,,,,,,,small,,,,black,white,,,,,
Ring-necked Duck,Toronto,25-06-2023 08:20,"A medium-sized diving duck with a black head, a gray body, and a white ring around its bill",Male,"Black, Gray, and White",,,,,,,gray,,,,,,,,,,,,,,,black,,,,,,,diving,,,,,,,,,,medium,,,,,,,,,,
Black-headed Gull,London,02-07-2023 16:30,"A small gull with a black head, a white body, and gray wings",Unknown,"Black, White, and Gray",,,,,,,white,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,small,,,,,,,,,gray,
Long-eared Owl,Chicago,19-06-2023 14:45,A medium-sized owl with prominent ear tufts and a streaked brown plumage,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,brown,,streaked,,,,medium,,,,,,,,,,
Vermilion Flycatcher,Rio de Janeiro,26-06-2023 12:10,"A small songbird with a bright red head, a brownish body, and a distinctive crest",Male,Red and Brownish,,,,,,,brown,,,,,,,,,,,,,,,red,,crest,,,,,,,,,,,,,,,small,,,,,,,,,,
Snowy-crowned Tern,Perth,03-07-2023 11:30,"A medium-sized seabird with a white body, a black cap, and a long, forked tail",Unknown,White and Black,,,,,,,white,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,forked,,,,,,,
Indigo Bunting,Melbourne,22-06-2023 13:55,A small bird with bright blue plumage,Male,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,small,,,,,,,,,,
Cape White-eye,Cape Town,29-06-2023 15:20,"A small bird with greenish-yellow plumage, a white eye ring, and a melodious song",Unknown,Greenish-yellow,,,,,,,,,,,,,,,,white,,,,,,,eye_ring,,,,,,,,,,green|yellow,,,,,,small,,,,,,,,song,,
Ashy Drongo,Delhi,06-07-2023 10:40,"A medium-sized bird with a black plumage, a gray head, and distinctive red eyes",Unknown,Black and Gray,,,,,,,,,,,,,,,,red,,,,,,gray,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
American Coot,San Francisco,17-06-2023 13:30,"A medium-sized waterbird with a dark body, a white bill, and distinctive lobed toes",Unknown,Black and White,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Horned Lark,Denver,26-06-2023 11:45,"A small bird with a black ""horned"" tuft on its head and a streaked brown plumage",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,streaked,,,,small,,,,,,,,,,
Belted Kingfisher,Seattle,02-07-2023 08:20,"A medium-sized bird with a shaggy crest, a blue-gray back, and a white underbody",Unknown,Blue-gray and White,,blue_gray,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,,,,,,,medium,,,,,white,,,,,
Red-winged Blackbird,New York City,19-06-2023 15:40,A medium-sized blackbird with a red shoulder patch and a black body,Male,Black and Red,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,medium,,,,,,,,,,
Common Redpoll,Toronto,01-07-2023 10:25,"A small finch with a brownish-gray plumage, streaks of red on its chest, and a small red cap",Unknown,Brownish-gray and Red,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,streaked,,,,small,,,,,,,,,,
Eastern Screech Owl,Chicago,24-06-2023 09:50,A small owl with gray or reddish-brown plumage and prominent ear tufts,Unknown,Gray or Reddish-brown,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,brown|gray|red,,,,,,small,,,,,,,,,,
Little Egret,Paris,05-07-2023 12:40,A small white heron with a black bill and black legs,Unknown,White and Black,,,,black,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,small,,,,,,,,,,
Golden-crowned Sparrow,Vancouver,18-06-2023 08:55,"A medium-sized sparrow with a gray body, a black crown, and a bright yellow patch on its head",Unknown,"Gray, Black, and Yellow",,,,,,,gray,,,,,,,,black,,,,,,,yellow,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Cerulean Warbler,Rio de Janeiro,27-06-2023 14:20,A small songbird with bright blue upperparts and a white underbody,Male,Blue and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,blue,,,
Gila Woodpecker,Phoenix,03-07-2023 11:40,A medium-sized woodpecker with a black-and-white striped back and a pale yellow belly,Unknown,"Black, White, and Yellow",,black|white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,striped,,,,medium,,,,,yellow,,,,,
Common Merganser,London,20-06-2023 16:15,"A large diving duck with a white body, a black back, and a slender red bill",Female,"White, Black, and Red",,black,,red,,slender,white,,,,,,,,,,,,,,,,,,,,,,diving,,,,,,,,,,large,,,,,,,,,,
Eurasian Bullfinch,Moscow,29-06-2023 13:25,"A small finch with a grayish-blue back, a reddish breast, and a black cap",Male,"Grayish-blue, Red, and Black",,blue_gray,,,,,,red,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,
Sora,Miami,22-06-2023 10:30,"A small rail bird with a brown body, a black face, and a distinctive descending whinny call",Unknown,Brown and Black,,,,,,,brown,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,call,,
Budgerigar,Sydney,30-06-2023 09:45,"A small parrot with bright green plumage, a yellow head, and a blue rump",Unknown,"Green, Yellow, and Blue",,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,green,,,blue,,,small,,,,,,,,,,
Mourning Warbler,Ottawa,07-07-2023 16:10,"A small songbird with a grayish-brown back, a yellow underbody, and a black facial mask",Unknown,"Grayish-brown, Yellow, and Black",,gray_brown,,,,,,,,,,,,,,,,,,,,,mask,,,,,,,,,,,,,,,,small,,,,,yellow,,,,,
Violet-green Swallow,Seattle,17-06-2023 15:30,"A medium-sized bird with glossy green upperparts, a white underbody, and violet-purple rump feathers",Unknown,"Green, White, and Violet-purple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,medium,,,,,white,,green,,,
Eurasian Spoonbill,Amsterdam,24-06-2023 12:20,"A large wading bird with white plumage, a spoon-shaped bill, and a yellow face patch",Unknown,White and Yellow,,,,,,spoon,,,,,,,,,,,yellow,,,,,,,,,,,,wading,,,,white,,,,,,large,,,,,,,,,,
Himalayan Monal,Kathmandu,01-07-2023 11:55,"A large and colorful bird with a metallic green head, a golden crest, and an array of plumage colors",Male,Various colors,,,,,,,,,,,,,,gold,,,,,,,,green,,crest,,,,,,,,,,,,,,,large,,,,,,,,,,
Black-capped Vireo,Austin,19-06-2023 09:20,"A small songbird with a gray head, a black cap, and a white underbody",Unknown,"Gray, Black, and White",,,,,,,,,black,,,,,,,,,,,,,gray,,,,,,,,,,,,,,,,,small,,,,,white,,,,,
Greater Yellowlegs,Mexico City,26-06-2023 10:45,"A tall wading bird with long yellow legs, a mottled brown plumage, and a long, slender bill",Unknown,Yellow and Brown,,,,,long,slender,,,,,,,,,,,,,,,,,,,tall,yellow,,,wading,,,,brown,,mottled,,,,,,,,,,,,,,
Hoopoe,London,03-07-2023 13:30,"A medium-sized bird with a distinctive crest, a black-and-white plumage, and a pinkish-brown body",Unknown,"Pinkish-brown, Black, and White",,,,,,,brown|pink,,,,,,,,,,,,,,,,,crest,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Blue Grosbeak,Los Angeles,20-06-2023 11:40,A medium-sized finch with a vibrant blue plumage,Male,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Indian Peafowl,Delhi,27-06-2023 14:25,"A large bird with colorful plumage, including iridescent blue, green, and bronze",Male,Various colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green,iridescent,,,,,large,,,,,,,,,,
Long-tailed Tit,London,04-07-2023 10:30,"A small songbird with a long tail, a black-and-white head, and pinkish underparts",Unknown,"Black, White, and Pink",,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,,,,,,,,,,,,small,,long,,,pink,,,,,
Red Knot,New York City,21-06-2023 15:45,A medium-sized shorebird with a mottled gray-brown plumage and a reddish breast,Unknown,Gray-brown and Red,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,mottled,,,,medium,,,,,,,,,,
Cinnamon Hummingbird,San Francisco,28-06-2023 13:10,"A small hummingbird with cinnamon-brown plumage, a shimmering throat patch, and a long bill",Male,Cinnamon-brown,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|cinnamon,iridescent,,,,,small,,,,,,,,,,
Black Guillemot,Reykjavik,05-07-2023 09:40,"A medium-sized seabird with black plumage, a white patch on its wings, and red feet",Unknown,"Black, White, and Red",,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,white,
Pied Flycatcher,Oslo,22-06-2023 16:25,"A small songbird with a black-and-white plumage, a white belly, and a distinctive ""pied"" appearance",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,white,,,,,
Yellow-crowned Night-Heron,Miami,29-06-2023 15:55,"A medium-sized heron with a black-and-white head, a gray body, and a yellow crown",Unknown,"Black, White, and Gray",,,,,,,gray,,,,,,,,yellow,,,,,,,black|white,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Gray Catbird,Chicago,19-06-2023 08:20,A medium-sized bird with gray plumage and a black cap,Unknown,Gray and Black,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
Eurasian Golden Oriole,Berlin,26-06-2023 11:30,"A medium-sized bird with bright yellow plumage, a black face mask, and a melodious song",Male,Yellow and Black,,,,,,,,,,,,,,,,,black,,,,,,mask,,,,,,,,,,yellow,,,,,,medium,,,,,,,,song,,
Common Nighthawk,Toronto,02-07-2023 16:40,"A medium-sized bird with mottled brown plumage, pointed wings, and a distinctive ""booming"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,call,,
White-winged Crossbill,Edmonton,20-06-2023 09:55,A small finch with a crossed bill and a reddish plumage,Unknown,Red,,,,,,crossed,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,small,,,,,,,,,,
Sooty Tern,Sydney,27-06-2023 14:20,"A medium-sized seabird with a black body, a white underbody, and a deeply forked tail",Unknown,Black and White,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,forked,,white,,,,,
Yellow-billed Cuckoo,"Washington, D.C.",04-07-2023 11:40,"A medium-sized bird with a yellow bill, a long tail, and a brownish-gray plumage",Unknown,Brownish-gray and Yellow,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,long,,,,,,,,
Crested Tit,Edinburgh,21-06-2023 09:50,"A small bird with a black-and-white head, a crested crown, and grayish-brown upperparts",Unknown,"Black, White, and Gray",,,,,,,,,,,,,,,,,,,,,,black|white,,crest,,,,,,,,,,,,,,,small,,,,,,,gray_brown,,,
Crimson Rosella,Melbourne,28-06-2023 12:10,"A medium-sized parrot with bright crimson plumage, blue cheeks, and a blue tail",Unknown,Crimson and Blue,,,,,,,,,,blue,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,medium,blue,,,,,,,,,
Red-eyed Vireo,Montreal,05-07-2023 15:30,"A small songbird with a grayish-olive back, a white underbody, and a distinctive red eye",Unknown,"Grayish-olive, White, and Red",,gray|olive,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,,,,
Black Skimmer,Los Angeles,22-06-2023 11:45,"A medium-sized seabird with a black upper body, white underparts, and a distinctive long, red bill",Unknown,"Black, White, and Red",,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,black,,,
Boreal Owl,Edmonton,29-06-2023 10:30,A medium-sized owl with a mottled brown plumage and piercing yellow eyes,Unknown,Brown and Yellow,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,,,
Olive-sided Flycatcher,Vancouver,06-07-2023 13:45,"A medium-sized songbird with an olive-brown plumage, a distinctive white patch on its sides, and a loud, clear song",Unknown,Olive-brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|olive,,,,,white,medium,,,,,,,,song,,
Red-footed Booby,Gal?pagos Islands,23-06-2023 15:20,"A large seabird with a white body, a brown back, and bright red feet",Unknown,"White, Brown, and Red",,brown,,,,,white,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Ruby-throated Hummingbird,New York City,30-06-2023 10:45,A small hummingbird with a bright green plumage and a ruby-red throat patch,Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Ocellated Turkey,Cancun,07-07-2023 12:10,"A large turkey with colorful plumage, including iridescent green, blue, and bronze",Male,Various colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green,iridescent,,,,,large,,,,,,,,,,
African Pygmy Kingfisher,Nairobi,24-06-2023 16:30,"A small kingfisher with a turquoise-blue back, a rufous underbody, and a white throat",Unknown,"Blue, Rufous, and White",,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,white,rufous,,,,,
Wilson's Warbler,Seattle,19-06-2023 08:55,A small songbird with a bright yellow body and a distinctive black cap,Male,Yellow and Black,,,,,,,yellow,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,
Snowy Owl,Anchorage,26-06-2023 11:20,A large owl with white plumage and piercing yellow eyes,Unknown,White,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Baya Weaver,Kolkata,03-07-2023 14:25,"A small bird with yellow plumage, a black face mask, and a long, woven nest",Unknown,Yellow and Black,,,,,,,,,,,,,,,,,black,,,,,,mask,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Northern Cardinal,"Washington, D.C.",20-06-2023 09:40,A medium-sized bird with a bright red plumage and a distinctive crest,Male,Red,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,red,,,,,,medium,,,,,,,,,,
Northern Parula,New York City,27-06-2023 10:55,"A small warbler with blue-gray upperparts, a yellow chest, and a black and orange neck band",Male,"Blue-gray, Yellow, Black, and Orange",,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,black|orange,,,,,,,,small,,,,,,,blue_gray,,,
Cape Petrel,Cape Town,04-07-2023 11:30,"A medium-sized seabird with a dark gray-brown body, a white underbody, and a yellow bill",Unknown,"Gray-brown, White, and Yellow",,,,yellow,,,gray_brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,,,,
Golden Eagle,Zurich,21-06-2023 13:40,A large bird of prey with dark brown plumage and a golden-brown nape,Unknown,Brown and Golden-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|gold,,,brown,,,,,,large,,,,,,,,,,
Hoopoe,Paris,28-06-2023 10:55,"A medium-sized bird with a distinctive crest, black-and-white plumage, and a pinkish-brown body",Unknown,"Pinkish-brown, Black, and White",,,,,,,brown|pink,,,,,,,,,,,,,,,,,crest,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
American Redstart,Montreal,05-07-2023 09:25,"A small warbler with black upperparts, orange patches on its wings and tail, and a white underbody",Male,"Black, Orange, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,black,,orange,
Great Blue Heron,Seattle,22-06-2023 16:40,"A large wading bird with a gray-blue body, a long neck, and a dagger-like bill",Unknown,Gray-blue,,,,,,dagger,blue|gray,,,,,,,,,,,,,,,,,,,,,,wading,,,long,,,,,,,large,,,,,,,,,,
