species,location,time,description of bird,sex,feather color,,,,,,
Baya Weaver,Kolkata,03-07-2023 14:25,A small bird with yellow plumage, a black face mask, and a long, woven nest,Unknown,Yellow and Black,,,
Northern Cardinal,Washington, D.C.,20-06-2023 09:40,A medium-sized bird with a bright red plumage and a distinctive crest,Male,Red,,,,,
Northern Parula,New York City,27-06-2023 10:55,A small warbler with blue-gray upperparts, a yellow chest, and a black and orange neck band,Male,Blue-gray, Yellow, Black, and Orange,
Cape Petrel,Cape Town,04-07-2023 11:30,A medium-sized seabird with a dark gray-brown body, a white underbody, and a yellow bill,Unknown,Gray-brown, White, and Yellow,,
Golden Eagle,Zurich,21-06-2023 13:40,A large bird of prey with dark brown plumage and a golden-brown nape,Unknown,Brown and Golden-brown,,,,,,
Hoopoe,Paris,28-06-2023 10:55,A medium-sized bird with a distinctive crest, black-and-white plumage, and a pinkish-brown body,Unknown,Pinkish-brown, Black, and White,,
American Redstart,Montreal,05-07-2023 09:25,A small warbler with black upperparts, orange patches on its wings and tail, and a white underbody,Male,Black, Orange, and White,,
Great Blue Heron,Seattle,22-06-2023 16:40,A large wading bird with a gray-blue body, a long neck, and a dagger-like bill,Unknown,Gray-blue,,,,
Blyth's Reed Warbler,Delhi,29-06-2023 12:15,A small warbler with brownish-gray plumage and a melodious song,Unknown,Brownish-gray,,,,,,
Roseate Spoonbill,New Orleans,06-07-2023 15:10,A large wading bird with pink plumage, a long bill, and a distinctive spoon-shaped bill,Unknown,Pink,,,,
Blue Jay,New York City,23-06-2023 10:30,A medium-sized bird with blue upperparts, a white underbody, and a black crest,Male,Blue, White, and Black,,
Black-and-white Warbler,Chicago,30-06-2023 11:45,A small black-and-white warbler with a striped pattern on its back,Unknown,Black and White,,,,,,
Lilac-breasted Roller,Nairobi,07-07-2023 14:20,A medium-sized bird with a lilac breast, a blue head, and a green back,Unknown,Lilac, Blue, and Green,,
Green Jay,McAllen,24-06-2023 13:25,A medium-sized bird with bright green plumage, a black head, and blue wing feathers,Unknown,Green, Black, and Blue,,
Buff-banded Rail,Sydney,01-07-2023 15:40,A medium-sized rail bird with a buff-colored band on its chest, a gray back, and a long bill,Unknown,Buff and Gray,,,,
Chestnut-sided Warbler,New York City,25-06-2023 09:50,A small warbler with a yellow underbody, a chestnut-colored patch on its sides, and a gray head,Male,Yellow, Chestnut, and Gray,,
Greater Sage-Grouse,Denver,02-07-2023 11:15,A large grouse with mottled gray-brown plumage, a fan-shaped tail, and a distinctive display courtship dance,Male,Gray-brown,,,,
Great Egret,Miami,26-06-2023 14:30,A tall wading bird with a white plumage, a long neck, and a yellow bill,Unknown,White and Yellow,,,,
Black-headed Grosbeak,Los Angeles,03-07-2023 16:55,A medium-sized finch with a black head, a brown back, and a bright orange underbody,Male,Black, Brown, and Orange,,
Crested Auklet,Anchorage,27-06-2023 13:40,A small seabird with a black body, a white underbody, and a distinctive forward-curving crest,Unknown,Black and White,,,,
Reddish Egret,New Orleans,04-07-2023 10:25,"A medium-sized heron with a shaggy reddish-brown plumage and a distinctive ""shuffling"" feeding behavior,Unknown,Reddish-brown",Unknown,Reddish-brown,,,,,,
Common Loon,Minneapolis,28-06-2023 12:40,A large diving bird with a black head, a checkered black-and-white back, and a white underbody,Unknown,Black, White, and Checkered,,
Snowy-crowned Tern,Cairns,05-07-2023 09:55,A medium-sized seabird with a white plumage, a black cap, and a long, forked tail,Unknown,White and Black,,,
Cedar Waxwing,Toronto,29-06-2023 11:10,A medium-sized bird with a sleek gray-brown plumage, a black mask, and waxy red tips on its wings,Unknown,Gray-brown, Black, and Red,,
Pied Avocet,Amsterdam,06-07-2023 13:25,A tall wading bird with a black-and-white plumage, a long upturned bill, and distinctive long legs,Unknown,Black and White,,,,
Brown Booby,Cancun,30-06-2023 14:40,A medium-sized seabird with a brown body, a white underbody, and a long, pointed bill,Unknown,Brown and White,,,
African Grey Parrot,Johannesburg,07-07-2023 15:55,A medium-sized parrot with a gray plumage, a red tail, and a distinctive ability to mimic human speech,Unknown,Gray and Red,,,,
Eurasian Kestrel,London,25-06-2023 09:20,A small falcon with a rusty-brown plumage, a blue-gray head, and a barred tail,Unknown,Rusty-brown, Blue-gray, and Barred,,
Scarlet Tanager,Washington, D.C.,27-06-2023 12:10,A medium-sized bird with a bright red plumage and black wings,Male,Red and Black,,,,,
Red-throated Loon,Reykjavik,02-07-2023 10:25,A medium-sized diving bird with a gray back, a white underbody, and a distinctive red throat patch,Unknown,Gray, White, and Red,,
Himalayan Bulbul,Kathmandu,06-07-2023 13:30,A small bird with a brownish-gray plumage, a black crest, and a melodious song,Unknown,Brownish-gray and Black,,,,
Crested Caracara,Amazon Rainforest,23-06-2023 15:45,A large bird of prey with a black head, a white neck, and a brown body,Unknown,Black, White, and Brown,,
Cape Gannet,Cape Town,07-07-2023 10:30,A large seabird with a white plumage, black wing tips, and a distinctive yellow head,Unknown,White, Black, and Yellow,,
Yellow-headed Blackbird,San Francisco,24-06-2023 09:55,A medium-sized blackbird with a yellow head, a black body, and a white wing patch,Male,Yellow, Black, and White,,
Chestnut-vented Tit-Babbler,Bangkok,01-07-2023 11:40,A small bird with a brownish plumage, a black-and-white head pattern, and a distinctive chestnut vent,Unknown,Brown, Black, White, and Chestnut,
Lazuli Bunting,Denver,19-06-2023 14:15,A small bird with bright blue plumage,Male,Blue,,,,,,
Red-breasted Nuthatch,Seattle,26-06-2023 16:20,A small bird with a blue-gray back, a rusty-red underbody," and a distinctive ""yank-yank"" call,Unknown,Blue-gray and Rusty-red",Unknown,Blue-gray and Rusty-red,,,,
Black-billed Magpie,Calgary,03-07-2023 13:15,A medium-sized bird with black plumage, a long tail, and a white belly,Unknown,Black and White,,,,
Andean Condor,Lima,20-06-2023 11:30,A massive bird of prey with black plumage, a white collar, and a bald head,Unknown,Black and White,,,,
Western Bluebird,Los Angeles,27-06-2023 09:45,A small bird with a blue upper body, a rusty-orange breast, and a white underbody,Male,Blue, Rusty-orange, and White,,
Snowy Owl,Yellowknife,04-07-2023 15:10,A large owl with white plumage and piercing yellow eyes,Unknown,White,,,,,,
Chestnut-backed Chickadee,Victoria,21-06-2023 10:50,A small bird with a black cap, a gray back, and a rusty-brown underbody,Unknown,Black, Gray, and Rusty-brown,,
Black-necked Stilt,Miami,28-06-2023 12:30,A tall wading bird with long pink legs, a black-and-white plumage, and a long, thin bill,Unknown,Black, White, and Pink,
Eurasian Roller,Istanbul,05-07-2023 14:20,A medium-sized bird with a turquoise-blue plumage, a brown back, and a hooked bill,Unknown,Turquoise-blue and Brown,,,,
Rock Ptarmigan,Anchorage,22-06-2023 09:40,A medium-sized bird with a white plumage, a black tail, and feathered feet,Unknown,White and Black,,,,
African Penguin,Cape Town,29-06-2023 11:55,A medium-sized penguin with a black-and-white plumage, a pink facial patch, and a distinctive waddle,Unknown,Black, White, and Pink,,
Red-throated Pipit,Oslo,06-07-2023 13:40,A small bird with a streaked brown back, a pinkish-brown underbody, and a reddish throat patch,Unknown,Brown, Pinkish-brown, and Reddish,,
Greater Roadrunner,Tucson,23-06-2023 16:55,A medium-sized bird with a mottled brown plumage, a long tail, and a distinctive crest,Unknown,Brown,,,,
African Fish Eagle,Mombasa,30-06-2023 14:10,A large eagle with a dark brown plumage, a white head, and a hooked yellow bill,Unknown,Dark Brown, White, and Yellow,,
White-tailed Ptarmigan,Calgary,07-07-2023 10:25,A medium-sized bird with a white plumage, a black tail, and feathered feet,Unknown,White and Black,,,,
White-throated Sparrow,New York City,25-06-2023 08:55,A medium-sized sparrow with a black-and-white head pattern, a white throat, and a yellow spot between its eyes,Unknown,Black, White, and Yellow,,
Yellow-bellied Flycatcher,Chicago,02-07-2023 11:40,A small songbird with an olive-green back, a yellow underbody, and a distinctive eye ring,Unknown,Olive-green, Yellow, and Black,,
Anna's Hummingbird,Los Angeles,19-06-2023 09:55,A small hummingbird with a green back, a reddish-pink throat, and a metallic sheen,Male,Green, Reddish-pink, and Metallic,,
Eurasian Golden Plover,Reykjavik,26-06-2023 13:20,A medium-sized shorebird with a mottled brown plumage, a black belly, and a distinctive golden back,Unknown,Brown, Black, and Golden,,
Toco Toucan,Rio de Janeiro,03-07-2023 11:35,A large bird with a massive orange-yellow bill, a black body, and a white throat patch,Unknown,Orange-yellow, Black, and White,,
Red-billed Quelea,Addis Ababa,20-06-2023 14:50,A small bird with a brownish plumage, a red bill, and a tendency to form large flocks,Unknown,Brownish and Red,,,,
White-throated Dipper,Oslo,27-06-2023 16:15,A small bird with a brown plumage, a white throat, and a distinctive bobbing motion,Unknown,Brown and White,,,,
Masked Lapwing,Sydney,04-07-2023 10:30,A medium-sized wading bird with a brown back, a black face mask, and a distinctive yellow wattle,Unknown,Brown, Black, and Yellow,,
Gray Jay,Yellowknife,21-06-2023 12:10,A medium-sized bird with a gray plumage, a black cap, and a friendly disposition,Unknown,Gray and Black,,,,
Eurasian Bittern,London,28-06-2023 15:45,A medium-sized heron-like bird with a streaked brown plumage, a long neck, and a booming call,Unknown,Brown,,,,
Reddish Egret,Galveston,05-07-2023 11:50,"A medium-sized heron with a shaggy reddish-brown plumage and a distinctive ""shuffling"" feeding behavior,Unknown,Reddish-brown",Unknown,Reddish-brown,,,,,,
American Goldfinch,New York City,22-06-2023 10:20,A small finch with bright yellow plumage,Male,Yellow,,,,,,
Rufous-tailed Hummingbird,Caracas,29-06-2023 13:40,A small hummingbird with a bronzy-green back, a rufous tail, and a white underbody,Unknown,Bronzy-green, Rufous, and White,,
Cattle Egret,Delhi,06-07-2023 11:55,A small heron with a white plumage, a yellow bill, and a habit of following cattle,Unknown,White and Yellow,,,,
White-winged Dove,Phoenix,23-06-2023 14:10,A medium-sized dove with a brownish-gray plumage, a white wing patch, and a long, pointed tail,Unknown,Brownish-gray and White,,,
Greater Flamingo,Mauritius,30-06-2023 16:25,A tall wading bird with pink plumage, a long neck, and a distinctive downward-curving bill,Unknown,Pink,,,,
Pine Grosbeak,Calgary,07-07-2023 09:40,A medium-sized finch with a red plumage and a heavy bill,Unknown,Red,,,,,,
Southern Cassowary,Cairns,24-06-2023 12:20,A large flightless bird with black plumage, a bright blue head, and a casque on its head,Unknown,Black and Blue,,,,
Painted Bunting,Miami,01-07-2023 14:35,A small finch with bright multi-colored plumage,Male,Multi-colored,,,,,,
Common Yellowthroat,Chicago,25-06-2023 16:40,A small warbler with a yellow underbody, a black mask," and a distinctive ""witchety-witchety"" call,Unknown,Yellow and Black",Unknown,Yellow and Black,,,,
Australasian Darter,Sydney,02-07-2023 11:55,A medium-sized waterbird with a black-and-white plumage, a long neck, and a slender, pointed bill,Unknown,Black and White,,,
American White Pelican,New Orleans,26-06-2023 15:20,A large waterbird with a white plumage, a long bill, and a distinctive throat pouch,Unknown,White,,,,
European Robin,London,03-07-2023 10:30,A small songbird with a brownish-gray back, a reddish-orange breast, and a white belly,Unknown,Brownish-gray, Reddish-orange, and White,,
Oriental Darter,Bangkok,27-06-2023 12:40,A large waterbird with a brown plumage, a long neck, and a slender, pointed bill,Unknown,Brown,,,
Crimson Sunbird,Kuala Lumpur,04-07-2023 15:55,A small bird with a metallic crimson plumage and a curved bill,Male,Crimson,,,,,,
American Kestrel,New York City,28-06-2023 09:45,A small falcon with a rusty-brown back, a white underbody, and a hooked bill,Unknown,Rusty-brown and White,,,,
White-crowned Sparrow,Seattle,05-07-2023 11:10,A medium-sized sparrow with a black-and-white head pattern and a gray underbody,Unknown,Black, White, and Gray,,,,
Caspian Tern,Amsterdam,29-06-2023 12:30,A large seabird with a white plumage, a black cap, and a bright red bill,Unknown,White, Black, and Red,,
Northern Flicker,Denver,06-07-2023 14:40,A medium-sized woodpecker with a brown plumage, a black crescent on its chest, and a white rump patch,Unknown,Brown, Black, and White,,
Ruby-crowned Kinglet,Portland,30-06-2023 16:10,A small bird with a greenish-gray plumage, a white eye ring, and a ruby-red crown,Male,Greenish-gray and Ruby-red,,,,
Black-headed Heron,Nairobi,07-07-2023 09:25,A medium-sized heron with a black head, a gray body, and a long bill,Unknown,Black and Gray,,,,
Indian Roller,Delhi,24-06-2023 10:50,A medium-sized bird with a bright blue plumage, a brown back, and a hooked bill,Unknown,Blue, Brown, and Hooked,,
Gadwall,Seattle,01-07-2023 12:20,A medium-sized dabbling duck with a mottled brown plumage, a black rear end, and a white wing patch,Unknown,Brown, Black, and White,,
Northern Hawk-Owl,Yellowknife,26-06-2023 14:45,A medium-sized owl with a brown plumage, a white facial disc, and a hooked bill,Unknown,Brown and White,,,,
Mountain Bluebird,Denver,03-07-2023 15:10,A small bird with a bright blue plumage and a rusty-orange breast,Male,Blue and Rusty-orange,,,,,,
Magellanic Penguin,Ushuaia,27-06-2023 16:30,A medium-sized penguin with a black back, a white underbody," and a distinctive ""donkey-like"" call,Unknown,Black and White",Unknown,Black and White,,,,
Wood Duck,Portland,04-07-2023 09:50,A medium-sized dabbling duck with a colorful plumage, including iridescent green, purple, and white,Male,Various colors,,,
Long-tailed Duck,Anchorage,28-06-2023 11:15,A medium-sized diving duck with a mottled gray-brown plumage and a long, slender tail,Unknown,Gray-brown,,,,,
Black-chinned Hummingbird,Phoenix,05-07-2023 13:30,A small hummingbird with a green back, a black throat, and a violet gorget,Male,Green, Black, and Violet,,
Rhinoceros Hornbill,Kuala Lumpur,29-06-2023 15:40,A large bird with a black plumage, a white belly, and a distinctive casque on its bill,Unknown,Black, White, and Casque,,
Eastern Whip-poor-will,New York City,06-07-2023 09:55,"A medium-sized bird with a mottled brown plumage and a distinctive ""whip-poor-will"" call,Unknown,Brown",Unknown,Brown,,,,,,
Snow Goose,Calgary,30-06-2023 11:20,A medium-sized goose with a white plumage and black wingtips,Unknown,White and Black,,,,,,
Saffron Finch,Rio de Janeiro,07-07-2023 13:45,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Great Horned Owl,Los Angeles,23-06-2023 15:30,A large owl with a mottled brown plumage and prominent ear tufts,Unknown,Brown,,,,,,
Hoopoe,Istanbul,30-06-2023 16:55,A medium-sized bird with a distinctive crest, black-and-white plumage, and a pinkish-brown body,Unknown,Pinkish-brown, Black, and White,,
Yellow-headed Amazon,Mexico City,07-07-2023 11:40,A medium-sized parrot with a green plumage, a yellow head, and a distinctive screeching call,Unknown,Green and Yellow,,,,
